sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
49,mbm-2022d.psych.ucsb.edu,15-Apr-2024 16:51:36,0.061241,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
49,.,15-Apr-2024 16:51:59,23.456138,misc,2,.,.,.,AGE:25,SEX:female,RACE:Other,INITIALS:RT,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:28,172.706532,study,3,1,1,1,aud+img,unfamiliar,Alison_Trejo_15_oval.jpg,151.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:31,175.723345,study,4,1,2,2,img,none,Amelia_Macleod_9_oval.jpg,NaN,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:34,178.768640,study,5,1,3,3,aud+img,unfamiliar,Adam_Cauthen_11_oval.jpg,150.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:38,181.805623,study,6,1,4,4,img,familiar,Andrew_Jaggers_3_oval.jpg,My heart will go on.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:41,184.858556,study,7,1,5,5,img,familiar,Anthony_Rimmer_17_oval.jpg,Gangnam Style.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:44,187.904425,study,8,1,6,6,aud,none,NaN,113.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:47,190.927401,study,9,1,7,7,img,none,Alan_Trimble_5_oval.jpg,NaN,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:50,193.976624,study,10,1,8,8,aud,familiar,michael jackson.jpg,137.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:53,197.013331,study,11,1,9,9,img,familiar,Albert_Baird_19_oval.jpg,State Farm.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:56,200.050659,study,12,1,10,10,aud,none,NaN,176.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:54:59,203.088477,study,13,1,11,11,aud+img,unfamiliar,Andrew_Baugh_17_oval.jpg,208.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:55:02,206.126267,study,14,1,12,12,aud,none,NaN,215.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:55:05,209.161682,study,15,1,13,13,aud,familiar,steve jobs.jpg,129.m4a,.,.,.,.,.,.
49,.,15-Apr-2024 16:55:08,212.198561,study,16,1,14,14,aud,none,NaN,210.m4a,.,.,.,.,.,.
