sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
26,mbm-2022g.psych.ucsb.edu,09-Apr-2024 15:33:54,0.060849,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
26,.,09-Apr-2024 15:34:09,14.235165,misc,2,.,.,.,AGE:22,SEX:female,RACE:Other,INITIALS:BS,.,.,.,.,.,.
26,.,09-Apr-2024 15:35:51,116.401172,study,3,1,1,1,aud,none,NaN,200.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:35:54,119.439165,study,4,1,2,2,img,familiar,Antonio_Southern_11_oval.jpg,Wedding march.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:35:57,122.460087,study,5,1,3,3,img,none,Angelica_Peter_11_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:00,125.497582,study,6,1,4,4,aud,none,NaN,20.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:03,128.544127,study,7,1,5,5,aud,familiar,marilyn monroe.jpg,180.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:06,131.563341,study,8,1,6,6,img,none,Anthony_Morgan_7_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:09,134.618324,study,9,1,7,7,aud,familiar,steve jobs.jpg,14.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:12,137.655833,study,10,1,8,8,aud+img,unfamiliar,Adam_Koester_12_oval.jpg,51.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:15,140.691420,study,11,1,9,9,aud,familiar,kim kardashian.jpg,114.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:18,143.725730,study,12,1,10,10,aud+img,unfamiliar,Amy_Shull_9_oval.jpg,174.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:21,146.768285,study,13,1,11,11,aud,none,NaN,65.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:24,149.806643,study,14,1,12,12,aud+img,unfamiliar,Alma_Lafountain_17_oval.jpg,44.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:27,152.842928,study,15,1,13,13,aud,familiar,morgan freeman.jpg,130.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:30,155.879094,study,16,1,14,14,aud,none,NaN,133.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:33,158.914493,study,17,1,15,15,img,familiar,Alma_Lafountain_15_oval.jpg,Fur Elise.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:36,161.954083,study,18,1,16,16,aud,familiar,jackie chan.jpg,71.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:39,164.990476,study,19,1,17,17,aud,familiar,princess diana.jpg,4.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:42,168.027174,study,20,1,18,18,aud,none,NaN,170.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:46,171.062431,study,21,1,19,19,img,familiar,Amanda_Mcneese_92_oval.jpg,The Entertainer.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:49,174.099094,study,22,1,20,20,aud+img,unfamiliar,Andrew_Jaggers_11_oval.jpg,97.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:52,177.135093,study,23,1,21,21,img,familiar,Annie_Gooch_17_oval.jpg,Toccata and fugue in D minor.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:55,180.171631,study,24,1,22,22,img,familiar,Albert_Rohr_5_oval.jpg,Alarm (ripples).m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:36:58,183.191198,study,25,1,23,23,img,none,Allen_Strain_19_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:01,186.232713,study,26,1,24,24,aud+img,unfamiliar,Ann_Mullen_13_oval.jpg,171.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:04,189.269403,study,27,1,25,25,aud,none,NaN,96.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:07,192.282769,study,28,1,26,26,img,none,Amber_Moseley_7_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:10,195.302593,study,29,1,27,27,img,none,Alicia_Swinton_3_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:13,198.342764,study,30,1,28,28,aud+img,unfamiliar,Anthony_Jamison_11_oval.jpg,182.m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:16,201.354460,study,31,1,29,29,img,none,Angie_Dorado_5_oval.jpg,NaN,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:19,204.394331,study,32,1,30,30,img,familiar,Allen_Muhammad_7_oval.jpg,Alarm (old phone).m4a,.,.,.,.,.,.
26,.,09-Apr-2024 15:37:25,210.201358,test,33,1,1,1,img,unfamiliar,Ann_Mullen_13_oval.jpg,171.m4a,old,j,low,new,miss,1.6353
26,.,09-Apr-2024 15:37:27,212.251634,test,34,1,2,2,img,none,Anthony_Morgan_7_oval.jpg,NaN,old,d,high,old,hit,1.1314
26,.,09-Apr-2024 15:37:29,214.180942,test,35,1,3,3,img,familiar,Allen_Muhammad_7_oval.jpg,Alarm (old phone).m4a,old,j,low,new,miss,0.9721
26,.,09-Apr-2024 15:37:31,216.319510,test,36,1,4,4,img,none,Annie_Leslie_9_oval.jpg,none,new,j,low,new,cr,1.2027
26,.,09-Apr-2024 15:37:33,218.298774,test,37,1,5,5,img,none,Angelica_Barclay_17_oval.jpg,none,new,j,low,new,cr,1.0368
26,.,09-Apr-2024 15:37:35,220.123317,test,38,1,6,6,img,none,Antonio_Hillman_15_oval.jpg,none,new,j,low,new,cr,0.89021
26,.,09-Apr-2024 15:37:37,222.139077,test,39,1,7,7,img,none,Alicia_Swinton_3_oval.jpg,NaN,old,d,high,old,hit,1.106
26,.,09-Apr-2024 15:37:39,224.273130,test,40,1,8,8,img,none,Angie_Dorado_5_oval.jpg,NaN,old,j,low,new,miss,1.1859
26,.,09-Apr-2024 15:37:41,226.961541,test,41,1,9,9,img,none,Ann_Towe_1_oval.jpg,none,new,j,low,new,cr,1.7632
26,.,09-Apr-2024 15:37:43,228.905690,test,42,1,10,10,img,none,Adrienne_Blaney_15_oval.jpg,none,new,j,low,new,cr,0.97922
26,.,09-Apr-2024 15:37:45,230.855076,test,43,1,11,11,img,familiar,Albert_Rohr_5_oval.jpg,Alarm (ripples).m4a,old,d,high,old,hit,0.95092
26,.,09-Apr-2024 15:37:47,232.759187,test,44,1,12,12,img,none,Amanda_Denning_9_oval.jpg,none,new,j,low,new,cr,0.97998
26,.,09-Apr-2024 15:37:50,235.745079,test,45,1,13,13,img,none,Bernice_Stephens_3_oval.jpg,none,new,k,high,new,cr,1.9324
26,.,09-Apr-2024 15:37:52,238.040921,test,46,1,14,14,img,familiar,Alma_Lafountain_15_oval.jpg,Fur Elise.m4a,old,d,high,old,hit,1.3333
26,.,09-Apr-2024 15:37:54,239.824509,test,47,1,15,15,img,unfamiliar,Adam_Koester_12_oval.jpg,51.m4a,old,d,high,old,hit,0.83512
26,.,09-Apr-2024 15:37:56,241.722666,test,48,1,16,16,img,none,Antonio_Englert_9_oval.jpg,none,new,j,low,new,cr,0.96928
26,.,09-Apr-2024 15:37:59,244.235125,test,49,1,17,17,img,unfamiliar,Anthony_Jamison_11_oval.jpg,182.m4a,old,f,low,old,hit,1.5639
26,.,09-Apr-2024 15:38:00,245.977874,test,50,1,18,18,img,none,Angela_Upshaw_15_oval.jpg,none,new,j,low,new,cr,0.82801
26,.,09-Apr-2024 15:38:06,251.425302,test,51,2,1,19,aud,familiar,princess diana.jpg,4.m4a,old,d,high,old,hit,1.3434
26,.,09-Apr-2024 15:38:10,255.411800,test,52,2,2,20,aud,none,NaN,133.m4a,old,j,low,new,miss,2.8872
26,.,09-Apr-2024 15:38:13,258.948006,test,53,2,3,21,aud,none,NaN,96.m4a,old,j,low,new,miss,2.4996
26,.,09-Apr-2024 15:38:17,262.594710,test,54,2,4,22,aud,none,none,206.m4a,new,j,low,new,cr,2.5694
26,.,09-Apr-2024 15:38:19,264.951566,test,55,2,5,23,aud,unfamiliar,Anthony_Jamison_11_oval.jpg,182.m4a,old,f,low,old,hit,1.2611
26,.,09-Apr-2024 15:38:22,268.034163,test,56,2,6,24,aud,familiar,steve jobs.jpg,14.m4a,old,f,low,old,hit,1.9756
26,.,09-Apr-2024 15:38:25,270.600287,test,57,2,7,25,aud,none,none,179.m4a,new,j,low,new,cr,1.5356
26,.,09-Apr-2024 15:38:28,273.957478,test,58,2,8,26,aud,none,NaN,20.m4a,old,d,high,old,hit,2.2494
26,.,09-Apr-2024 15:38:31,276.434840,test,59,2,9,27,aud,unfamiliar,Adam_Koester_12_oval.jpg,51.m4a,old,f,low,old,hit,1.3966
26,.,09-Apr-2024 15:38:34,279.298095,test,60,2,10,28,aud,none,none,164.m4a,new,j,low,new,cr,1.7608
26,.,09-Apr-2024 15:38:37,282.730460,test,61,2,11,29,aud,none,none,84.m4a,new,j,low,new,cr,2.3825
26,.,09-Apr-2024 15:38:41,286.280798,test,62,2,12,30,aud,none,none,5.m4a,new,j,low,new,cr,2.4952
26,.,09-Apr-2024 15:38:44,289.825412,test,63,2,13,31,aud,unfamiliar,Ann_Mullen_13_oval.jpg,171.m4a,old,f,low,old,hit,2.4046
26,.,09-Apr-2024 15:38:48,293.236290,test,64,2,14,32,aud,none,none,183.m4a,new,j,low,new,cr,2.3419
26,.,09-Apr-2024 15:38:51,296.665877,test,65,2,15,33,aud,none,none,149.m4a,new,j,low,new,cr,2.3491
26,.,09-Apr-2024 15:38:55,300.209480,test,66,2,16,34,aud,none,none,120.m4a,new,j,low,new,cr,2.4485
26,.,09-Apr-2024 15:38:59,304.513038,test,67,2,17,35,aud,none,none,70.m4a,new,j,low,new,cr,3.2547
26,.,09-Apr-2024 15:39:02,308.001842,test,68,2,18,36,aud,familiar,jackie chan.jpg,71.m4a,old,j,low,new,miss,2.3638
26,.,09-Apr-2024 15:39:11,316.834505,test,69,3,1,37,aud,none,none,93.m4a,new,k,high,new,cr,2.7331
26,.,09-Apr-2024 15:39:15,320.153417,test,70,3,2,38,aud,none,NaN,65.m4a,old,f,low,old,hit,2.1829
26,.,09-Apr-2024 15:39:18,323.850529,test,71,3,3,39,aud,none,NaN,200.m4a,old,f,low,old,hit,2.6225
26,.,09-Apr-2024 15:39:22,327.314334,test,72,3,4,40,aud,none,none,203.m4a,new,j,low,new,cr,2.3547
26,.,09-Apr-2024 15:39:25,330.803214,test,73,3,5,41,aud,none,none,86.m4a,new,j,low,new,cr,2.4034
26,.,09-Apr-2024 15:39:28,333.815866,test,74,3,6,42,aud,unfamiliar,Alma_Lafountain_17_oval.jpg,44.m4a,old,j,low,new,miss,1.9326
26,.,09-Apr-2024 15:39:31,337.008610,test,75,3,7,43,aud,none,none,115.m4a,new,j,low,new,cr,2.1195
26,.,09-Apr-2024 15:39:35,340.624445,test,76,3,8,44,aud,familiar,kim kardashian.jpg,114.m4a,old,j,low,new,miss,2.5529
26,.,09-Apr-2024 15:39:38,344.028288,test,77,3,9,45,aud,unfamiliar,Andrew_Jaggers_11_oval.jpg,97.m4a,old,j,low,new,miss,2.3387
26,.,09-Apr-2024 15:39:42,347.443787,test,78,3,10,46,aud,familiar,morgan freeman.jpg,130.m4a,old,f,low,old,hit,2.3433
26,.,09-Apr-2024 15:39:45,350.845464,test,79,3,11,47,aud,none,none,68.m4a,new,f,low,old,fa,2.2735
26,.,09-Apr-2024 15:39:50,355.371555,test,80,3,12,48,aud,none,none,74.m4a,new,j,low,new,cr,3.4487
