sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
72,mbm-2022d.psych.ucsb.edu,17-Apr-2024 11:04:00,0.061875,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
72,.,17-Apr-2024 11:04:17,16.830235,misc,2,.,.,.,AGE:22,SEX:male,RACE:White,INITIALS:RW,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:15,195.684223,study,3,1,1,1,img,familiar,Arthur_Josey_7_oval.jpg,Happy birthday.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:18,198.723084,study,4,1,2,2,aud+img,unfamiliar,Angelica_Sommer_7_oval.jpg,147.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:21,201.760389,study,5,1,3,3,aud,familiar,jackie chan.jpg,186.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:24,204.776608,study,6,1,4,4,img,none,Alison_Trejo_9_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:28,207.832437,study,7,1,5,5,img,familiar,April_Farris_1_oval.jpg,Blue Danube Waltz.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:31,210.877462,study,8,1,6,6,aud+img,unfamiliar,Alicia_Clifford_11_oval.jpg,3.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:34,213.914348,study,9,1,7,7,aud,familiar,queen elizabeth ii.jpg,196.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:37,216.949367,study,10,1,8,8,aud+img,unfamiliar,Adam_Tripp_13_oval.jpg,205.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:40,219.990904,study,11,1,9,9,aud,none,NaN,197.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:43,223.013156,study,12,1,10,10,img,none,Alison_Trejo_15_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:46,226.053968,study,13,1,11,11,aud,familiar,barack obama.jpg,15.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:49,229.067229,study,14,1,12,12,img,none,Andrew_Shephard_19_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:52,232.104614,study,15,1,13,13,img,familiar,Angie_Dorado_5_oval.jpg,Swan Lake.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:55,235.138295,study,16,1,14,14,aud,familiar,ariana grande.jpg,36.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:07:58,238.150577,study,17,1,15,15,img,none,Bernice_Stephens_3_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:01,241.167802,study,18,1,16,16,img,none,Alan_Abbey_15_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:04,244.182440,study,19,1,17,17,img,none,Adrienne_Blaney_1_oval.jpg,NaN,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:07,247.222984,study,20,1,18,18,aud,familiar,steve jobs.jpg,131.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:10,250.259291,study,21,1,19,19,img,familiar,Allen_Hollingshead_11_oval.jpg,Pachelbel Canon.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:13,253.296291,study,22,1,20,20,aud,none,NaN,28.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:16,256.333532,study,23,1,21,21,aud,none,NaN,182.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:19,259.369686,study,24,1,22,22,aud,none,NaN,42.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:22,262.404619,study,25,1,23,23,aud+img,unfamiliar,Alma_Kaminski_3_oval.jpg,168.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:25,265.439468,study,26,1,24,24,aud,familiar,kim kardashian.jpg,68.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:28,268.476319,study,27,1,25,25,img,familiar,Albert_Rohr_11_oval.jpg,Super mario bros theme.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:31,271.510439,study,28,1,26,26,img,familiar,Albert_Gates_3_oval.jpg,Nokia ringtone.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:34,274.545237,study,29,1,27,27,aud+img,unfamiliar,Ann_Towe_1_oval.jpg,56.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:37,277.581244,study,30,1,28,28,aud+img,unfamiliar,Albert_Carlyle_11_oval.jpg,27.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:40,280.618889,study,31,1,29,29,aud,none,NaN,150.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:43,283.655975,study,32,1,30,30,aud,none,NaN,84.m4a,.,.,.,.,.,.
72,.,17-Apr-2024 11:08:49,289.451164,test,33,1,1,1,img,none,Adam_Koester_10_oval.jpg,none,new,,,,miss,4
72,.,17-Apr-2024 11:08:51,290.951681,test,34,1,1,1,img,none,Adam_Koester_10_oval.jpg,none,new,j,low,new,cr,3.3997
72,.,17-Apr-2024 11:08:54,293.802040,test,35,1,2,2,img,none,Albert_Cardoza_5_oval.jpg,none,new,,,,miss,4
72,.,17-Apr-2024 11:08:54,294.372617,test,36,1,2,2,img,none,Albert_Cardoza_5_oval.jpg,none,new,f,low,old,fa,2.4304
72,.,17-Apr-2024 11:08:57,297.187408,test,37,1,3,3,img,none,Albert_Neu_11_oval.jpg,none,new,j,low,new,cr,1.8997
72,.,17-Apr-2024 11:09:00,300.027903,test,38,1,4,4,img,none,Anthony_Rimmer_11_oval.jpg,none,new,,,,miss,4
72,.,17-Apr-2024 11:09:00,300.793974,test,39,1,4,4,img,none,Anthony_Rimmer_11_oval.jpg,none,new,k,high,new,cr,2.6366
72,.,17-Apr-2024 11:09:03,303.150547,test,40,1,5,5,img,familiar,Angie_Dorado_5_oval.jpg,Swan Lake.m4a,old,d,high,old,hit,1.3962
72,.,17-Apr-2024 11:09:06,305.992177,test,41,1,6,6,img,none,Ann_Mullen_15_oval.jpg,none,new,,,,miss,4
72,.,17-Apr-2024 11:09:10,309.902031,test,42,1,6,6,img,none,Ann_Mullen_15_oval.jpg,none,new,f,low,old,fa,5.7381
72,.,17-Apr-2024 11:09:12,312.209683,test,43,1,7,7,img,none,Andrew_Shephard_19_oval.jpg,NaN,old,d,high,old,hit,1.3726
72,.,17-Apr-2024 11:09:14,314.526921,test,44,1,8,8,img,none,Arthur_Deering_3_oval.jpg,none,new,f,low,old,fa,1.369
72,.,17-Apr-2024 11:09:16,316.575939,test,45,1,9,9,img,none,Adrienne_Blaney_1_oval.jpg,NaN,old,d,high,old,hit,1.1054
72,.,17-Apr-2024 11:09:18,318.750298,test,46,1,10,10,img,none,Adrienne_Coen_1_oval.jpg,none,new,j,low,new,cr,1.2472
72,.,17-Apr-2024 11:09:21,320.990686,test,47,1,11,11,img,familiar,Arthur_Josey_7_oval.jpg,Happy birthday.m4a,old,d,high,old,hit,1.3052
72,.,17-Apr-2024 11:09:24,323.828588,test,48,1,12,12,img,unfamiliar,Albert_Carlyle_11_oval.jpg,27.m4a,old,,,,miss,4
