sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
51,mbm-2022h.psych.ucsb.edu,16-Apr-2024 11:06:58,0.070367,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
51,.,16-Apr-2024 11:07:12,13.960108,misc,2,.,.,.,AGE:23,SEX:female,RACE:Asian,INITIALS:AP,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:26,147.173986,study,3,1,1,1,aud+img,unfamiliar,Antonio_Blaney_13_oval.jpg,174.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:29,150.212419,study,4,1,2,2,img,familiar,Agnes_Dilley_13_oval.jpg,Party in the USA.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:32,153.251060,study,5,1,3,3,img,familiar,Anne_Alicea_7_oval.jpg,State Farm.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:35,156.288915,study,6,1,4,4,aud,familiar,shakira.jpg,120.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:38,159.338906,study,7,1,5,5,aud+img,unfamiliar,Alan_Peachey_7_oval.jpg,23.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:41,162.376130,study,8,1,6,6,aud,familiar,george washington.jpg,197.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:44,165.412673,study,9,1,7,7,aud+img,unfamiliar,Amy_Shull_9_oval.jpg,96.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:47,168.447870,study,10,1,8,8,aud,familiar,rihanna.jpg,144.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:50,171.483520,study,11,1,9,9,aud+img,unfamiliar,Anthony_Jamison_11_oval.jpg,182.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:53,174.518503,study,12,1,10,10,img,familiar,Andrew_Eastwood_13_oval.jpg,Beethoven symphony no.5 .m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:56,177.552905,study,13,1,11,11,img,familiar,Andrew_Kautz_15_oval.jpg,Alarm (ripples).m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:09:59,180.600737,study,14,1,12,12,aud,none,NaN,63.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:02,183.636981,study,15,1,13,13,img,familiar,Anthony_Holmberg_5_oval.jpg,Alarm (slow rise).m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:05,186.661711,study,16,1,14,14,img,none,Angela_Upshaw_1_oval.jpg,NaN,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:08,189.704225,study,17,1,15,15,aud,familiar,johnny depp.jpg,116.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:11,192.741567,study,18,1,16,16,aud,none,NaN,6.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:14,195.779124,study,19,1,17,17,aud,none,NaN,31.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:17,198.813655,study,20,1,18,18,aud+img,unfamiliar,Adrienne_Lebron_15_oval.jpg,32.m4a,.,.,.,.,.,.
51,.,16-Apr-2024 11:10:20,201.828680,study,21,1,19,19,img,none,Anthony_Cavender_11_oval.jpg,NaN,.,.,.,.,.,.
