sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
57,mbm-2022e.psych.ucsb.edu,16-Apr-2024 11:07:13,0.059673,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
57,.,16-Apr-2024 11:07:28,15.781403,misc,2,.,.,.,AGE:28,SEX:female,RACE:White,INITIALS:YA,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:07,174.790553,study,3,1,1,1,aud+img,unfamiliar,Allen_Eagan_9_oval.jpg,142.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:10,177.828955,study,4,1,2,2,img,familiar,Alberta_Herbst_3_oval.jpg,Gangnam Style.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:13,180.868206,study,5,1,3,3,aud,familiar,bill gates.jpg,28.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:17,183.907595,study,6,1,4,4,aud,none,NaN,87.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:20,186.959268,study,7,1,5,5,aud+img,unfamiliar,Antoinette_Carrion_15_oval.jpg,79.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:23,189.999561,study,8,1,6,6,aud+img,unfamiliar,Andrew_Jaggers_15_oval.jpg,37.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:26,193.037377,study,9,1,7,7,img,familiar,Annette_George_7_oval.jpg,Party in the USA.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:29,196.078579,study,10,1,8,8,aud,none,NaN,145.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:32,199.115973,study,11,1,9,9,img,familiar,Amy_Shull_9_oval.jpg,Alarm (ripples).m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:35,202.142907,study,12,1,10,10,img,none,Adam_Koester_8_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:38,205.186097,study,13,1,11,11,aud+img,unfamiliar,Alan_Gamerson_7_oval.jpg,49.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:41,208.222825,study,14,1,12,12,aud,none,NaN,214.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:44,211.258321,study,15,1,13,13,aud+img,unfamiliar,Anne_Marra_1_oval.jpg,78.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:47,214.273076,study,16,1,14,14,img,none,Angelica_Rahman_19_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:50,217.290474,study,17,1,15,15,img,none,Anne_Alicea_7_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:53,220.331807,study,18,1,16,16,aud+img,unfamiliar,Anne_Alicea_11_oval.jpg,5.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:56,223.344770,study,19,1,17,17,img,none,Alma_Gober_7_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:10:59,226.363118,study,20,1,18,18,img,none,Alan_Trimble_15_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:02,229.407778,study,21,1,19,19,aud,none,NaN,114.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:05,232.444547,study,22,1,20,20,aud,none,NaN,69.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:08,235.480835,study,23,1,21,21,img,familiar,Albert_Edmond_9_oval.jpg,USA National Anthem.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:11,238.516654,study,24,1,22,22,aud,none,NaN,166.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:14,241.552843,study,25,1,23,23,aud,familiar,ariana grande.jpg,80.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:17,244.591361,study,26,1,24,24,img,familiar,Andrew_Cuevas_3_oval.jpg,Row your boat.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:20,247.626853,study,27,1,25,25,aud,familiar,dwayne johnson.jpg,191.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:23,250.641500,study,28,1,26,26,img,none,Antonio_Villegas_3_oval.jpg,NaN,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:26,253.679889,study,29,1,27,27,aud,familiar,beyonce.jpg,41.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:29,256.715837,study,30,1,28,28,aud,familiar,albert einstein.jpg,182.m4a,.,.,.,.,.,.
57,.,16-Apr-2024 11:11:32,259.751565,study,31,1,29,29,img,familiar,Adrienne_Lebron_15_oval.jpg,Pachelbel Canon.m4a,.,.,.,.,.,.
