sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
32,mbm-2022d.psych.ucsb.edu,10-Apr-2024 11:05:36,0.058153,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
32,.,10-Apr-2024 11:05:52,15.610803,misc,2,.,.,.,AGE:19,SEX:female,RACE:Hispanic,INITIALS:LD,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:17,160.861211,study,3,1,1,1,aud,none,NaN,139.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:20,163.877057,study,4,1,2,2,img,none,Adam_Koester_10_oval.jpg,NaN,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:23,166.919670,study,5,1,3,3,aud,none,NaN,112.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:26,169.959572,study,6,1,4,4,aud+img,unfamiliar,Belinda_Barrington_13_oval.jpg,158.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:29,173.004012,study,7,1,5,5,aud,familiar,queen elizabeth ii.jpg,194.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:32,176.025384,study,8,1,6,6,img,none,Ana_Gulley_15_oval.jpg,NaN,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:35,179.046250,study,9,1,7,7,img,none,Anthony_Cavender_11_oval.jpg,NaN,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:38,182.100101,study,10,1,8,8,img,familiar,Allen_Muhammad_7_oval.jpg,Alarm (slow rise).m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:41,185.135516,study,11,1,9,9,img,familiar,Alma_Kaminski_3_oval.jpg,Swan Lake.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:44,188.171548,study,12,1,10,10,aud+img,unfamiliar,Albert_Edmond_15_oval.jpg,212.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:47,191.205747,study,13,1,11,11,aud,familiar,michael jackson.jpg,45.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:50,194.242749,study,14,1,12,12,aud+img,unfamiliar,Annette_Vest_17_oval.jpg,51.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:53,197.278693,study,15,1,13,13,img,familiar,Amelia_Mays_3_oval.jpg,Ave Maria.m4a,.,.,.,.,.,.
32,.,10-Apr-2024 11:08:56,200.321867,study,16,1,14,14,aud,none,NaN,67.m4a,.,.,.,.,.,.
