sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
47,mbm-2022g.psych.ucsb.edu,15-Apr-2024 16:51:51,0.062743,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
47,.,15-Apr-2024 16:52:09,17.538005,misc,2,.,.,.,AGE:25,SEX:male,RACE:BlackWhite,INITIALS:JB,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:20,149.291288,study,3,1,1,1,img,familiar,Amanda_Hilburn_17_oval.jpg,Alarm (slow rise).m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:23,152.329775,study,4,1,2,2,aud,familiar,donald trump.jpg,151.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:26,155.367485,study,5,1,3,3,aud,none,NaN,119.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:29,158.405586,study,6,1,4,4,aud,none,NaN,177.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:32,161.456670,study,7,1,5,5,aud+img,unfamiliar,Anthony_Jamison_17_oval.jpg,113.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:35,164.493320,study,8,1,6,6,aud+img,unfamiliar,Adrienne_Blaney_1_oval.jpg,38.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:39,167.529428,study,9,1,7,7,aud,familiar,shakira.jpg,121.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:42,170.551365,study,10,1,8,8,img,none,Alberta_Griswold_19_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:45,173.595749,study,11,1,9,9,aud+img,unfamiliar,Alma_Gober_5_oval.jpg,179.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:48,176.641690,study,12,1,10,10,aud,none,NaN,148.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:51,179.678290,study,13,1,11,11,aud,familiar,rihanna.jpg,174.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:54,182.713648,study,14,1,12,12,aud,none,NaN,63.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:54:57,185.730587,study,15,1,13,13,img,none,Alicia_Gordy_3_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:00,188.770150,study,16,1,14,14,img,familiar,Allen_Hollingshead_7_oval.jpg,Pachelbel Canon.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:03,191.806324,study,17,1,15,15,aud+img,unfamiliar,Allison_Main_11_oval.jpg,204.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:06,194.841182,study,18,1,16,16,img,familiar,Antonio_Villegas_3_oval.jpg,Alarm (radar).m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:09,197.854784,study,19,1,17,17,img,none,Alice_Mckellar_11_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:12,200.894240,study,20,1,18,18,img,familiar,Alma_Lafountain_15_oval.jpg,Super mario bros theme.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:15,203.928724,study,21,1,19,19,aud,familiar,lady gaga.jpg,55.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:18,206.942843,study,22,1,20,20,img,none,Annie_Polk_15_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:21,209.982506,study,23,1,21,21,aud,familiar,mark zuckerberg.jpg,1.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:24,213.019678,study,24,1,22,22,aud+img,unfamiliar,Alan_Gamerson_7_oval.jpg,27.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:27,216.056975,study,25,1,23,23,aud,none,NaN,149.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:30,219.070748,study,26,1,24,24,img,none,Ana_Gulley_15_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:33,222.111795,study,27,1,25,25,aud,familiar,princess diana.jpg,141.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:36,225.122811,study,28,1,26,26,img,none,Andrew_Eastwood_13_oval.jpg,NaN,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:39,228.163115,study,29,1,27,27,aud+img,unfamiliar,Angela_Upshaw_9_oval.jpg,42.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:42,231.198411,study,30,1,28,28,img,familiar,Andrew_Shephard_13_oval.jpg,Bizet Carmen.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:45,234.233495,study,31,1,29,29,aud,none,NaN,173.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:48,237.269660,study,32,1,30,30,img,familiar,Agnes_Castellanos_15_oval.jpg,Hallelujah.m4a,.,.,.,.,.,.
47,.,15-Apr-2024 16:55:56,245.164262,test,33,1,1,1,aud,familiar,princess diana.jpg,141.m4a,old,k,high,new,miss,2.3199
47,.,15-Apr-2024 16:56:00,249.250274,test,34,1,2,2,aud,unfamiliar,Adrienne_Blaney_1_oval.jpg,38.m4a,old,k,high,new,miss,3.0014
47,.,15-Apr-2024 16:56:04,252.695839,test,35,1,3,3,aud,unfamiliar,Alma_Gober_5_oval.jpg,179.m4a,old,f,low,old,hit,2.305
47,.,15-Apr-2024 16:56:07,256.269328,test,36,1,4,4,aud,none,none,134.m4a,new,j,low,new,cr,2.4328
47,.,15-Apr-2024 16:56:11,260.458718,test,37,1,5,5,aud,none,none,81.m4a,new,j,low,new,cr,3.0523
