sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
66,mbm-2022f.psych.ucsb.edu,17-Apr-2024 10:04:34,0.060289,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
66,.,17-Apr-2024 10:04:53,19.097633,misc,2,.,.,.,AGE:21,SEX:male,RACE:White,INITIALS:JM,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:38,184.316699,study,3,1,1,1,aud+img,unfamiliar,Adam_Koester_10_oval.jpg,103.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:42,187.354365,study,4,1,2,2,aud,familiar,britney spears.jpg,112.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:45,190.393274,study,5,1,3,3,img,familiar,Angelica_Barclay_17_oval.jpg,Ave Maria.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:48,193.432901,study,6,1,4,4,aud,none,NaN,214.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:51,196.483174,study,7,1,5,5,img,familiar,Angie_Dorado_5_oval.jpg,Twinkle twinkle.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:54,199.521208,study,8,1,6,6,aud,familiar,jackie chan.jpg,104.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:07:57,202.556365,study,9,1,7,7,aud+img,unfamiliar,Adam_Yamada_3_oval.jpg,9.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:00,205.597966,study,10,1,8,8,aud,none,NaN,105.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:03,208.636493,study,11,1,9,9,aud+img,unfamiliar,Allen_Eagan_1_oval.jpg,116.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:06,211.670615,study,12,1,10,10,aud,familiar,kylie jenner.jpg,16.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:09,214.695285,study,13,1,11,11,img,none,Alma_Kaminski_3_oval.jpg,NaN,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:12,217.738632,study,14,1,12,12,img,familiar,Alan_Rainwater_15_oval.jpg,Jingle bells.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:15,220.774932,study,15,1,13,13,aud+img,unfamiliar,Arthur_Ashmore_3_oval.jpg,156.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:18,223.789656,study,16,1,14,14,img,none,Albert_Baird_19_oval.jpg,NaN,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:21,226.808751,study,17,1,15,15,img,none,Adrienne_Blaney_15_oval.jpg,NaN,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:24,229.852201,study,18,1,16,16,aud,none,NaN,111.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:27,232.887539,study,19,1,17,17,aud,none,NaN,46.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:30,235.922706,study,20,1,18,18,aud,none,NaN,128.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:33,238.957293,study,21,1,19,19,aud+img,unfamiliar,Allison_Baldridge_7_oval.jpg,161.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:36,241.992044,study,22,1,20,20,aud,familiar,donald trump.jpg,5.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:39,245.028854,study,23,1,21,21,aud,none,NaN,123.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:42,248.064708,study,24,1,22,22,img,familiar,Anne_Hamel_17_oval.jpg,Party in the USA.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:45,251.100675,study,25,1,23,23,aud+img,unfamiliar,Allen_Hollingshead_11_oval.jpg,169.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:48,254.136453,study,26,1,24,24,aud,familiar,adolf hitler.jpg,35.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:51,257.149627,study,27,1,25,25,img,none,Angela_Bono_11_oval.jpg,NaN,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:54,260.190858,study,28,1,26,26,img,familiar,Beverly_Nigro_5_oval.jpg,Swan Lake.m4a,.,.,.,.,.,.
66,.,17-Apr-2024 10:08:57,263.204809,study,29,1,27,27,img,none,Albert_Gates_3_oval.jpg,NaN,.,.,.,.,.,.
