sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
29,mbm-2022h.psych.ucsb.edu,10-Apr-2024 10:57:51,0.063719,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
29,.,10-Apr-2024 10:58:07,16.424901,misc,2,.,.,.,AGE:22,SEX:female,RACE:Asian,INITIALS:JB,.,.,.,.,.,.
29,.,10-Apr-2024 11:00:56,185.022458,study,3,1,1,1,aud,familiar,robert downey jr.jpg,160.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:00:59,188.060250,study,4,1,2,2,aud,none,NaN,60.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:02,191.099834,study,5,1,3,3,aud+img,unfamiliar,Allen_Eagan_9_oval.jpg,150.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:05,194.138833,study,6,1,4,4,aud,none,NaN,74.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:08,197.186799,study,7,1,5,5,aud,familiar,elon musk.jpg,140.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:11,200.225301,study,8,1,6,6,aud,familiar,lady gaga.jpg,184.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:14,203.263286,study,9,1,7,7,img,familiar,Bernice_Beavers_13_oval.jpg,My heart will go on.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:17,206.287061,study,10,1,8,8,img,none,Alma_Litchfield_13_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:20,209.302813,study,11,1,9,9,img,none,Alberta_Griswold_13_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:23,212.350713,study,12,1,10,10,aud,none,NaN,72.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:26,215.390071,study,13,1,11,11,aud+img,unfamiliar,Antonio_Villegas_3_oval.jpg,94.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:29,218.425416,study,14,1,12,12,img,familiar,Belinda_Boutte_1_oval.jpg,Gangnam Style.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:32,221.461271,study,15,1,13,13,img,familiar,Annie_Leslie_9_oval.jpg,Wedding march.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:35,224.496286,study,16,1,14,14,aud+img,unfamiliar,Antonio_Blaney_13_oval.jpg,205.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:38,227.532059,study,17,1,15,15,aud+img,unfamiliar,Andrew_Kautz_9_oval.jpg,76.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:41,230.546935,study,18,1,16,16,img,none,Benjamin_Raynor_15_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:44,233.562889,study,19,1,17,17,img,none,Angelica_Sommer_1_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:48,236.605403,study,20,1,18,18,aud,familiar,britney spears.jpg,61.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:51,239.620141,study,21,1,19,19,img,none,Anthony_Cavender_11_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:54,242.660322,study,22,1,20,20,img,familiar,Alicia_Swinton_3_oval.jpg,Blue Danube Waltz.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:01:57,245.698571,study,23,1,21,21,aud,none,NaN,46.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:00,248.734809,study,24,1,22,22,aud,familiar,morgan freeman.jpg,66.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:03,251.769902,study,25,1,23,23,aud,familiar,mark zuckerberg.jpg,99.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:06,254.806351,study,26,1,24,24,aud,none,NaN,6.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:09,257.842962,study,27,1,25,25,aud+img,unfamiliar,Adrienne_Coen_1_oval.jpg,109.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:12,260.877734,study,28,1,26,26,aud,none,NaN,103.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:15,263.913058,study,29,1,27,27,img,familiar,Albert_Baird_19_oval.jpg,Alarm (old phone).m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:18,266.948234,study,30,1,28,28,img,familiar,Allen_Eagan_1_oval.jpg,The Entertainer.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:21,269.984554,study,31,1,29,29,aud+img,unfamiliar,Alberta_Griswold_19_oval.jpg,197.m4a,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:24,272.996797,study,32,1,30,30,img,none,Allison_Stubbs_15_oval.jpg,NaN,.,.,.,.,.,.
29,.,10-Apr-2024 11:02:35,284.043378,test,33,1,1,1,aud,unfamiliar,Antonio_Villegas_3_oval.jpg,94.m4a,old,f,low,old,hit,5.0209
