sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
58,mbm-2022h.psych.ucsb.edu,16-Apr-2024 16:05:46,0.056806,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
58,.,16-Apr-2024 16:06:06,19.920897,misc,2,.,.,.,AGE:20,SEX:female,RACE:White,INITIALS:AD,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:40,173.946524,study,3,1,1,1,aud,familiar,robert downey jr.jpg,95.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:43,176.961667,study,4,1,2,2,img,none,Ana_Gulley_15_oval.jpg,NaN,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:46,180.005671,study,5,1,3,3,img,familiar,Amanda_Hilburn_17_oval.jpg,Alarm (old phone).m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:49,183.042059,study,6,1,4,4,aud+img,unfamiliar,Amanda_Mcneese_9_oval.jpg,83.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:52,186.092016,study,7,1,5,5,img,familiar,Arthur_Deering_3_oval.jpg,Nokia ringtone.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:55,189.136525,study,8,1,6,6,img,familiar,Adrienne_Blaney_15_oval.jpg,Pachelbel Canon.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:08:58,192.177753,study,9,1,7,7,aud,none,NaN,129.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:01,195.198304,study,10,1,8,8,img,none,Alison_Niemi_13_oval.jpg,NaN,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:04,198.244311,study,11,1,9,9,aud,familiar,bill gates.jpg,15.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:07,201.256522,study,12,1,10,10,img,none,Alan_Trimble_15_oval.jpg,NaN,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:10,204.297464,study,13,1,11,11,aud+img,unfamiliar,Arlene_Mcelroy_19_oval.jpg,7.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:13,207.334228,study,14,1,12,12,aud,none,NaN,196.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:16,210.346868,study,15,1,13,13,img,none,Antonio_Englert_17_oval.jpg,NaN,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:19,213.388513,study,16,1,14,14,img,familiar,Alan_Abbey_15_oval.jpg,In the Hall of the Mountain King.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:22,216.422456,study,17,1,15,15,aud+img,unfamiliar,Antonio_Villegas_3_oval.jpg,198.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:25,219.457616,study,18,1,16,16,img,familiar,Adrienne_Blaney_11_oval.jpg,Twinkle twinkle.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:28,222.470446,study,19,1,17,17,img,none,Annie_Leslie_5_oval.jpg,NaN,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:32,225.508395,study,20,1,18,18,aud+img,unfamiliar,Alan_Gamerson_7_oval.jpg,143.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:35,228.544245,study,21,1,19,19,aud,familiar,steve jobs.jpg,39.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:38,231.580738,study,22,1,20,20,aud,none,NaN,161.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:41,234.616556,study,23,1,21,21,aud,familiar,adolf hitler.jpg,6.m4a,.,.,.,.,.,.
58,.,16-Apr-2024 16:09:44,237.652302,study,24,1,22,22,aud,familiar,justin bieber.jpg,158.m4a,.,.,.,.,.,.
