sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
70,mbm-2022g.psych.ucsb.edu,17-Apr-2024 11:07:14,0.054908,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
70,.,17-Apr-2024 11:07:26,12.112146,misc,2,.,.,.,AGE:22,SEX:female,RACE:Asian,INITIALS:KB,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:23,128.581292,study,3,1,1,1,aud,familiar,albert einstein.jpg,155.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:26,131.618701,study,4,1,2,2,aud,familiar,jackie chan.jpg,55.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:29,134.657785,study,5,1,3,3,aud,familiar,marilyn monroe.jpg,146.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:32,137.696508,study,6,1,4,4,aud,familiar,selena gomez.jpg,133.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:35,140.745499,study,7,1,5,5,aud,none,NaN,202.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:38,143.768195,study,8,1,6,6,img,none,Annie_Polk_15_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:41,146.815760,study,9,1,7,7,aud+img,unfamiliar,Alice_Zapata_7_oval.jpg,102.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:44,149.831898,study,10,1,8,8,img,none,Albert_Edmond_19_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:47,152.849143,study,11,1,9,9,img,none,Alan_Trimble_15_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:50,155.896373,study,12,1,10,10,aud,none,NaN,152.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:53,158.909381,study,13,1,11,11,img,none,Adrienne_Coen_1_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:56,161.949295,study,14,1,12,12,aud+img,unfamiliar,Alison_Trejo_15_oval.jpg,137.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:09:59,164.987495,study,15,1,13,13,img,familiar,Andrew_Eastwood_13_oval.jpg,Jingle bells.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:02,168.024632,study,16,1,14,14,aud,none,NaN,82.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:05,171.060612,study,17,1,15,15,aud,familiar,adolf hitler.jpg,72.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:08,174.096139,study,18,1,16,16,img,familiar,Beth_Fernandez_2_oval.jpg,State Farm.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:11,177.132012,study,19,1,17,17,aud+img,unfamiliar,Arthur_Josey_7_oval.jpg,83.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:14,180.170227,study,20,1,18,18,img,familiar,Anthony_Holmberg_5_oval.jpg,USA National Anthem.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:17,183.185508,study,21,1,19,19,img,none,April_Culpepper_17_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:20,186.225830,study,22,1,20,20,aud+img,unfamiliar,Anthony_Morgan_7_oval.jpg,77.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:23,189.260870,study,23,1,21,21,img,familiar,Albert_Paradise_1_oval.jpg,Toccata and fugue in D minor.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:26,192.297224,study,24,1,22,22,img,familiar,Antonio_Southern_11_oval.jpg,Eine Klein Nachtmusik.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:30,195.333732,study,25,1,23,23,aud,familiar,robert downey jr.jpg,25.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:33,198.348989,study,26,1,24,24,img,none,Albert_Stites_5_oval.jpg,NaN,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:36,201.387978,study,27,1,25,25,aud+img,unfamiliar,Anthony_Newell_7_oval.jpg,203.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:39,204.425554,study,28,1,26,26,aud,none,NaN,191.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:42,207.463046,study,29,1,27,27,aud,none,NaN,78.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:45,210.498228,study,30,1,28,28,img,familiar,Ana_Bahr_11_oval.jpg,Nationwide Insurance.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:48,213.535465,study,31,1,29,29,aud,none,NaN,37.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:51,216.571753,study,32,1,30,30,aud+img,unfamiliar,Ada_Riddick_15_oval.jpg,116.m4a,.,.,.,.,.,.
70,.,17-Apr-2024 11:10:57,222.905571,test,33,1,1,1,img,none,Albert_Stites_5_oval.jpg,NaN,old,d,high,old,hit,1.5612
70,.,17-Apr-2024 11:10:59,224.692872,test,34,1,2,2,img,none,Albert_Edmond_19_oval.jpg,NaN,old,d,high,old,hit,0.73258
70,.,17-Apr-2024 11:11:01,226.722669,test,35,1,3,3,img,none,Anne_Hamel_1_oval.jpg,none,new,k,high,new,cr,1.0791
70,.,17-Apr-2024 11:11:04,229.558042,test,36,1,4,4,img,none,Alma_Gober_5_oval.jpg,none,new,,,,miss,4
70,.,17-Apr-2024 11:11:04,230.136383,test,37,1,4,4,img,none,Alma_Gober_5_oval.jpg,none,new,j,low,new,cr,2.4479
70,.,17-Apr-2024 11:11:07,232.600294,test,38,1,5,5,img,none,Amber_Moseley_7_oval.jpg,none,new,k,high,new,cr,1.4756
70,.,17-Apr-2024 11:11:09,234.996521,test,39,1,6,6,img,unfamiliar,Alice_Zapata_7_oval.jpg,102.m4a,old,f,low,old,hit,1.4057
70,.,17-Apr-2024 11:11:11,237.181206,test,40,1,7,7,img,none,Alma_Gober_3_oval.jpg,none,new,f,low,old,fa,1.1845
70,.,17-Apr-2024 11:11:14,239.551214,test,41,1,8,8,img,familiar,Beth_Fernandez_2_oval.jpg,State Farm.m4a,old,f,low,old,hit,1.3854
70,.,17-Apr-2024 11:11:16,241.878393,test,42,1,9,9,img,none,Alicia_Gordy_7_oval.jpg,none,new,j,low,new,cr,1.3523
70,.,17-Apr-2024 11:11:18,243.668679,test,43,1,10,10,img,none,Adrienne_Blaney_11_oval.jpg,none,new,j,low,new,cr,0.82712
70,.,17-Apr-2024 11:11:20,245.349835,test,44,1,11,11,img,none,Amber_Marcum_13_oval.jpg,none,new,j,low,new,cr,0.73522
70,.,17-Apr-2024 11:11:21,247.225414,test,45,1,12,12,img,unfamiliar,Ada_Riddick_15_oval.jpg,116.m4a,old,j,low,new,miss,0.91273
70,.,17-Apr-2024 11:11:23,249.055935,test,46,1,13,13,img,none,April_Culpepper_17_oval.jpg,NaN,old,d,high,old,hit,0.84566
70,.,17-Apr-2024 11:11:26,251.897356,test,47,1,14,14,img,none,Anne_Hamel_17_oval.jpg,none,new,,,,miss,4
70,.,17-Apr-2024 11:11:26,252.176406,test,48,1,14,14,img,none,Anne_Hamel_17_oval.jpg,none,new,j,low,new,cr,2.1183
70,.,17-Apr-2024 11:11:29,254.423046,test,49,1,15,15,img,unfamiliar,Arthur_Josey_7_oval.jpg,83.m4a,old,f,low,old,hit,1.2867
70,.,17-Apr-2024 11:11:30,256.263429,test,50,1,16,16,img,none,Belinda_Boutte_1_oval.jpg,none,new,j,low,new,cr,0.89009
70,.,17-Apr-2024 11:11:33,258.496240,test,51,1,17,17,img,familiar,Antonio_Southern_11_oval.jpg,Eine Klein Nachtmusik.m4a,old,j,low,new,miss,1.2729
70,.,17-Apr-2024 11:11:35,260.415210,test,52,1,18,18,img,familiar,Andrew_Eastwood_13_oval.jpg,Jingle bells.m4a,old,f,low,old,hit,0.9471
70,.,17-Apr-2024 11:11:42,268.312027,test,53,2,1,19,aud,none,none,210.m4a,new,j,low,new,cr,2.8143
70,.,17-Apr-2024 11:11:46,271.632841,test,54,2,2,20,aud,none,NaN,152.m4a,old,f,low,old,hit,2.2103
70,.,17-Apr-2024 11:11:49,275.142368,test,55,2,3,21,aud,none,NaN,82.m4a,old,f,low,old,hit,2.3769
70,.,17-Apr-2024 11:11:53,278.440859,test,56,2,4,22,aud,none,none,22.m4a,new,f,low,old,fa,2.1614
70,.,17-Apr-2024 11:11:57,282.373297,test,57,2,5,23,aud,none,none,197.m4a,new,j,low,new,cr,2.8286
70,.,17-Apr-2024 11:12:00,285.399183,test,58,2,6,24,aud,none,none,35.m4a,new,j,low,new,cr,1.9182
70,.,17-Apr-2024 11:12:03,288.696515,test,59,2,7,25,aud,none,none,27.m4a,new,f,low,old,fa,2.2114
70,.,17-Apr-2024 11:12:05,290.935675,test,60,2,8,26,aud,none,none,7.m4a,new,f,low,old,fa,1.1502
70,.,17-Apr-2024 11:12:08,294.094926,test,61,2,9,27,aud,familiar,jackie chan.jpg,55.m4a,old,d,high,old,hit,2.01
70,.,17-Apr-2024 11:12:12,297.589876,test,62,2,10,28,aud,unfamiliar,Anthony_Newell_7_oval.jpg,203.m4a,old,j,low,new,miss,2.3872
70,.,17-Apr-2024 11:12:15,301.128200,test,63,2,11,29,aud,none,none,123.m4a,new,f,low,old,fa,2.4556
70,.,17-Apr-2024 11:12:19,304.548624,test,64,2,12,30,aud,unfamiliar,Alice_Zapata_7_oval.jpg,102.m4a,old,j,low,new,miss,2.3413
70,.,17-Apr-2024 11:12:22,308.097216,test,65,2,13,31,aud,none,none,158.m4a,new,j,low,new,cr,2.4651
70,.,17-Apr-2024 11:12:25,310.468330,test,66,2,14,32,aud,familiar,marilyn monroe.jpg,146.m4a,old,f,low,old,hit,1.2847
70,.,17-Apr-2024 11:12:28,313.870664,test,67,2,15,33,aud,none,none,142.m4a,new,k,high,new,cr,2.2851
70,.,17-Apr-2024 11:12:31,316.372754,test,68,2,16,34,aud,unfamiliar,Ada_Riddick_15_oval.jpg,116.m4a,old,k,high,new,miss,1.4259
70,.,17-Apr-2024 11:12:34,319.837366,test,69,2,17,35,aud,familiar,albert einstein.jpg,155.m4a,old,j,low,new,miss,2.3438
70,.,17-Apr-2024 11:12:37,322.894419,test,70,2,18,36,aud,none,NaN,78.m4a,old,j,low,new,miss,1.9004
70,.,17-Apr-2024 11:12:45,330.417101,test,71,3,1,37,aud,none,none,49.m4a,new,j,low,new,cr,2.3044
70,.,17-Apr-2024 11:12:48,333.877223,test,72,3,2,38,aud,none,none,171.m4a,new,j,low,new,cr,2.3704
70,.,17-Apr-2024 11:12:51,336.407863,test,73,3,3,39,aud,unfamiliar,Alison_Trejo_15_oval.jpg,137.m4a,old,f,low,old,hit,1.4389
70,.,17-Apr-2024 11:12:54,339.744525,test,74,3,4,40,aud,none,none,84.m4a,new,k,high,new,cr,2.2181
70,.,17-Apr-2024 11:12:57,342.855698,test,75,3,5,41,aud,none,none,93.m4a,new,k,high,new,cr,2.0341
70,.,17-Apr-2024 11:13:00,345.848196,test,76,3,6,42,aud,none,NaN,202.m4a,old,f,low,old,hit,1.8941
70,.,17-Apr-2024 11:13:03,349.062182,test,77,3,7,43,aud,none,NaN,37.m4a,old,f,low,old,hit,2.1176
70,.,17-Apr-2024 11:13:06,352.157379,test,78,3,8,44,aud,familiar,adolf hitler.jpg,72.m4a,old,k,high,new,miss,1.9567
70,.,17-Apr-2024 11:13:10,355.509780,test,79,3,9,45,aud,none,none,126.m4a,new,k,high,new,cr,2.2862
70,.,17-Apr-2024 11:13:13,358.750078,test,80,3,10,46,aud,unfamiliar,Arthur_Josey_7_oval.jpg,83.m4a,old,k,high,new,miss,2.1259
70,.,17-Apr-2024 11:13:16,362.023321,test,81,3,11,47,aud,none,none,59.m4a,new,k,high,new,cr,2.1956
70,.,17-Apr-2024 11:13:20,365.489545,test,82,3,12,48,aud,none,none,187.m4a,new,k,high,new,cr,2.398
70,.,17-Apr-2024 11:13:23,368.894192,test,83,3,13,49,aud,familiar,selena gomez.jpg,133.m4a,old,j,low,new,miss,2.3311
70,.,17-Apr-2024 11:13:26,371.837890,test,84,3,14,50,aud,familiar,robert downey jr.jpg,25.m4a,old,j,low,new,miss,1.8689
