sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
54,mbm-2022d.psych.ucsb.edu,16-Apr-2024 11:07:01,0.055621,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
54,.,16-Apr-2024 11:07:19,18.758941,misc,2,.,.,.,AGE:19,SEX:female,RACE:Hispanic,INITIALS:JA,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:10,129.624735,study,3,1,1,1,img,none,Ann_Towe_1_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:13,132.666127,study,4,1,2,2,aud,familiar,selena gomez.jpg,185.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:16,135.706241,study,5,1,3,3,aud,none,NaN,176.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:19,138.744768,study,6,1,4,4,aud+img,unfamiliar,Alan_Rainwater_15_oval.jpg,215.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:22,141.795623,study,7,1,5,5,img,familiar,Anne_Alicea_7_oval.jpg,Super mario bros theme.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:25,144.819309,study,8,1,6,6,img,none,Andrew_Jaggers_3_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:28,147.873331,study,9,1,7,7,aud,familiar,britney spears.jpg,182.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:32,150.910756,study,10,1,8,8,aud+img,unfamiliar,Alan_Ruff_13_oval.jpg,59.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:35,153.946632,study,11,1,9,9,aud,familiar,morgan freeman.jpg,133.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:38,156.982170,study,12,1,10,10,aud,familiar,michael jackson.jpg,143.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:41,160.023845,study,13,1,11,11,aud,none,NaN,34.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:44,163.042264,study,14,1,12,12,img,none,Alan_Gamerson_7_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:47,166.086296,study,15,1,13,13,aud,none,NaN,51.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:50,169.122149,study,16,1,14,14,aud,none,NaN,40.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:53,172.158169,study,17,1,15,15,aud,none,NaN,189.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:56,175.170422,study,18,1,16,16,img,none,Angelica_Beam_7_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:09:59,178.215585,study,19,1,17,17,img,familiar,Amanda_Mcneese_92_oval.jpg,Ave Maria.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:02,181.251950,study,20,1,18,18,img,familiar,Belinda_Barrington_13_oval.jpg,Nationwide Insurance.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:05,184.287730,study,21,1,19,19,img,familiar,Antoinette_Carrion_15_oval.jpg,Blue Danube Waltz.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:08,187.325578,study,22,1,20,20,aud+img,unfamiliar,Ana_Starnes_1_oval.jpg,9.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:11,190.360988,study,23,1,21,21,img,familiar,Arthur_Albright_15_oval.jpg,Bohemian Rhapsody.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:14,193.396683,study,24,1,22,22,img,familiar,Alice_Mckellar_11_oval.jpg,Row your boat.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:17,196.433873,study,25,1,23,23,aud,none,NaN,109.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:20,199.469571,study,26,1,24,24,aud+img,unfamiliar,Albert_Paradise_1_oval.jpg,74.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:23,202.505170,study,27,1,25,25,aud+img,unfamiliar,Ann_Mullen_3_oval.jpg,157.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:26,205.517663,study,28,1,26,26,img,none,Anthony_Holmberg_5_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:29,208.559201,study,29,1,27,27,aud,familiar,kylie jenner.jpg,1.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:32,211.595344,study,30,1,28,28,aud+img,unfamiliar,Beth_Hamer_3_oval.jpg,17.m4a,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:35,214.606970,study,31,1,29,29,img,none,Adam_Ng_17_oval.jpg,NaN,.,.,.,.,.,.
54,.,16-Apr-2024 11:10:38,217.647113,study,32,1,30,30,aud,familiar,justin bieber.jpg,174.m4a,.,.,.,.,.,.
