sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
30,mbm-2022g.psych.ucsb.edu,10-Apr-2024 11:06:06,0.059075,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
30,.,10-Apr-2024 11:06:28,21.124492,misc,2,.,.,.,AGE:20,SEX:female,RACE:White,INITIALS:AW,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:20,193.578565,study,3,1,1,1,img,none,Allison_Baldridge_1_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:23,196.618366,study,4,1,2,2,aud,familiar,michael jackson.jpg,152.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:26,199.657871,study,5,1,3,3,aud,none,NaN,47.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:29,202.695591,study,6,1,4,4,aud+img,unfamiliar,Beth_Fernandez_7_oval.jpg,51.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:32,205.741193,study,7,1,5,5,aud,familiar,beyonce.jpg,29.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:35,208.785059,study,8,1,6,6,aud+img,unfamiliar,Adam_Tripp_13_oval.jpg,121.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:38,211.822302,study,9,1,7,7,img,familiar,Adam_Ng_17_oval.jpg,William Tell OVerture.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:41,214.864140,study,10,1,8,8,aud,none,NaN,155.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:44,217.900406,study,11,1,9,9,img,familiar,Bernice_Thornton_17_oval.jpg,Gangnam Style.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:47,220.937582,study,12,1,10,10,img,familiar,April_Culpepper_17_oval.jpg,USA National Anthem.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:50,223.973638,study,13,1,11,11,img,familiar,Annie_Polk_15_oval.jpg,In the Hall of the Mountain King.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:53,227.006970,study,14,1,12,12,aud,familiar,steve jobs.jpg,105.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:56,230.044425,study,15,1,13,13,aud,none,NaN,89.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:09:59,233.078943,study,16,1,14,14,aud,familiar,mark zuckerberg.jpg,58.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:02,236.115332,study,17,1,15,15,img,familiar,Benjamin_Raynor_17_oval.jpg,Eine Klein Nachtmusik.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:06,239.153542,study,18,1,16,16,img,familiar,Agnes_Dilley_15_oval.jpg,Fur Elise.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:09,242.194120,study,19,1,17,17,aud,familiar,kim kardashian.jpg,95.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:12,245.230600,study,20,1,18,18,aud+img,unfamiliar,Angelica_Peter_5_oval.jpg,130.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:15,248.255362,study,21,1,19,19,img,none,Albert_Colucci_15_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:18,251.297972,study,22,1,20,20,aud+img,unfamiliar,Arlene_mcelroy_1_oval.jpg,25.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:21,254.334918,study,23,1,21,21,aud+img,unfamiliar,Alma_Gober_3_oval.jpg,57.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:24,257.370875,study,24,1,22,22,aud,familiar,johnny depp.jpg,26.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:27,260.384935,study,25,1,23,23,img,none,Agnes_Castellanos_9_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:30,263.427966,study,26,1,24,24,aud,none,NaN,111.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:33,266.464204,study,27,1,25,25,aud,none,NaN,35.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:36,269.499141,study,28,1,26,26,aud,none,NaN,70.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:39,272.510832,study,29,1,27,27,img,none,Alison_Trejo_9_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:42,275.549499,study,30,1,28,28,aud+img,unfamiliar,Amelia_Macleod_9_oval.jpg,178.m4a,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:45,278.562852,study,31,1,29,29,img,none,Allison_Samson_13_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:48,281.581001,study,32,1,30,30,img,none,Adam_Koester_12_oval.jpg,NaN,.,.,.,.,.,.
30,.,10-Apr-2024 11:10:54,287.217513,test,33,1,1,1,img,none,Ann_Marino_9_oval.jpg,none,new,,,,miss,4
30,.,10-Apr-2024 11:10:55,289.032553,test,34,1,1,1,img,none,Ann_Marino_9_oval.jpg,none,new,j,low,new,cr,3.6952
30,.,10-Apr-2024 11:10:58,291.882428,test,35,1,2,2,img,none,Arthur_Albright_15_oval.jpg,none,new,,,,miss,4
30,.,10-Apr-2024 11:10:59,292.993671,test,36,1,2,2,img,none,Arthur_Albright_15_oval.jpg,none,new,k,high,new,cr,3.0278
30,.,10-Apr-2024 11:11:02,295.832037,test,37,1,3,3,img,unfamiliar,Beth_Fernandez_7_oval.jpg,51.m4a,old,,,,miss,4
30,.,10-Apr-2024 11:11:02,295.971131,test,38,1,3,3,img,unfamiliar,Beth_Fernandez_7_oval.jpg,51.m4a,old,d,high,old,hit,2.047
30,.,10-Apr-2024 11:11:05,298.616233,test,39,1,4,4,img,none,Alberta_Herbst_15_oval.jpg,none,new,k,high,new,cr,1.7454
30,.,10-Apr-2024 11:11:08,301.463126,test,40,1,5,5,img,none,Arthur_Deering_3_oval.jpg,none,new,,,,miss,4
30,.,10-Apr-2024 11:11:08,301.822909,test,41,1,5,5,img,none,Arthur_Deering_3_oval.jpg,none,new,j,low,new,cr,2.2904
