sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
10,mbm-2022h.psych.ucsb.edu,05-Apr-2024 13:24:57,0.071018,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
10,.,05-Apr-2024 13:25:10,13.417711,misc,2,.,.,.,AGE:19,SEX:non-binary,RACE:White,INITIALS:CW,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:25,148.725715,study,3,1,1,1,aud+img,unfamiliar,Antoinette_Carrion_5_oval.jpg,34.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:28,151.763753,study,4,1,2,2,aud,none,NaN,65.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:31,154.803443,study,5,1,3,3,aud,familiar,joe biden.jpg,19.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:34,157.842230,study,6,1,4,4,img,familiar,Adrienne_Coen_13_oval.jpg,Row your boat.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:37,160.890874,study,7,1,5,5,aud,familiar,elon musk.jpg,91.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:40,163.929362,study,8,1,6,6,aud+img,unfamiliar,Allison_Baldridge_1_oval.jpg,211.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:43,166.969915,study,9,1,7,7,aud,none,NaN,54.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:47,170.006822,study,10,1,8,8,aud+img,unfamiliar,Albert_Carlyle_11_oval.jpg,137.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:50,173.046220,study,11,1,9,9,aud,none,NaN,189.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:53,176.084114,study,12,1,10,10,img,familiar,Albert_Rohr_5_oval.jpg,Ave Maria.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:56,179.119035,study,13,1,11,11,aud,familiar,morgan freeman.jpg,108.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:27:59,182.154676,study,14,1,12,12,aud+img,unfamiliar,Allen_Hollingshead_11_oval.jpg,75.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:28:02,185.189379,study,15,1,13,13,img,familiar,Alicia_Swinton_3_oval.jpg,Eine Klein Nachtmusik.m4a,.,.,.,.,.,.
10,.,05-Apr-2024 13:28:05,188.223329,study,16,1,14,14,aud,familiar,george washington.jpg,5.m4a,.,.,.,.,.,.
