sub,test,pair,c,d,ht,ms,cr,fa,oTrls,nTrls,mdRtO,mdRtN,mnRtO,mnRtN
56,img,unfamiliar,0.368,1.914,26,10,98,10,36,108,1.213,1.206,1.404,1.423
57,aud,none,-0.36,0.628,27,9,52,56,36,108,2.06,1.967,2.16,2.475
57,aud,familiar,-0.239,0.384,24,12,52,56,36,108,1.872,1.967,2.119,2.475
57,aud,unfamiliar,0.082,-0.257,15,21,52,56,36,108,2.262,1.967,2.523,2.475
57,img,none,-0.068,2.306,32,4,93,15,36,108,0.948,0.963,1.006,1.17
57,img,familiar,0.16,1.85,28,8,93,15,36,108,0.893,0.963,1.173,1.17
57,img,unfamiliar,0.059,2.053,30,6,93,15,36,108,0.996,0.963,1.342,1.17
58,aud,none,-0.314,1.096,29,7,64,44,36,108,2.406,2.661,2.429,2.777
58,aud,familiar,-0.024,0.516,22,14,64,44,36,108,2.671,2.661,2.559,2.777
58,aud,unfamiliar,-0.061,0.59,23,13,64,44,36,108,2.461,2.661,2.51,2.777
58,img,none,-0.435,2.959,35,1,92,16,36,108,0.812,1.435,1.027,1.646
58,img,familiar,-0.02,2.13,31,5,92,16,36,108,0.956,1.435,1.176,1.646
58,img,unfamiliar,-0.088,2.265,32,4,92,16,36,108,0.887,1.435,1.191,1.646
59,aud,none,0.047,0.374,20,16,64,44,36,108,1.737,1.763,1.878,1.955
59,aud,familiar,0.152,0.165,17,19,64,44,36,108,1.884,1.763,2.037,1.955
59,aud,unfamiliar,-0.22,0.909,27,9,64,44,36,108,1.916,1.763,1.92,1.955
59,img,none,-0.69,2.45,35,1,76,32,36,108,0.669,0.874,0.75,1.002
59,img,familiar,-0.529,2.128,34,2,76,32,36,108,0.647,0.874,0.745,1.002
59,img,unfamiliar,-0.963,2.995,36,0,76,32,36,108,0.685,0.874,0.781,1.002
60,aud,none,-0.012,0.54,22,14,65,43,36,108,2.035,2.022,2.061,2.157
60,aud,familiar,-0.166,0.848,26,10,65,43,36,108,1.957,2.022,2.164,2.157
60,aud,unfamiliar,-0.012,0.54,22,14,65,43,36,108,1.64,2.022,2.025,2.157
60,img,none,0.072,1.867,29,7,91,17,36,108,0.924,1.113,1.007,1.244
60,img,familiar,-0.189,2.388,33,3,91,17,36,108,1.08,1.113,1.231,1.244
60,img,unfamiliar,0.165,1.68,27,9,91,17,36,108,1.037,1.113,1.091,1.244
61,aud,none,-0.013,0.991,25,11,74,34,36,108,2.067,2.343,2.259,2.426
61,aud,familiar,-0.013,0.991,25,11,74,34,36,108,2.053,2.343,2.149,2.426
61,aud,unfamiliar,0.063,0.838,23,13,74,34,36,108,2.08,2.343,2.324,2.426
61,img,none,0.133,1.99,29,7,94,14,36,108,1.065,1.45,1.271,1.613
61,img,familiar,0.269,1.718,26,10,94,14,36,108,1.193,1.45,1.332,1.613
61,img,unfamiliar,0.459,1.339,21,15,94,14,36,108,1.267,1.45,1.416,1.613
62,aud,none,0.282,0,14,22,66,42,36,108,2.695,2.658,2.981,2.827
62,aud,familiar,0.036,0.493,21,15,66,42,36,108,2.796,2.658,2.86,2.827
62,aud,unfamiliar,0.282,0,14,22,66,42,36,108,2.77,2.658,2.909,2.827
62,img,none,-0.015,1.499,28,8,83,25,36,108,1.096,1.295,1.407,1.557
62,img,familiar,0.03,1.408,27,9,83,25,36,108,1.298,1.295,1.362,1.557
62,img,unfamiliar,0.072,1.323,26,10,83,25,36,108,1.387,1.295,1.57,1.557
63,aud,none,-0.012,0.686,23,13,68,40,36,108,3.248,3.156,3.643,3.673
63,aud,familiar,-0.129,0.92,26,10,68,40,36,108,2.477,3.156,3.032,3.673
63,aud,unfamiliar,-0.129,0.92,26,10,68,40,36,108,3.057,3.156,3.234,3.673
63,img,none,0.149,3.065,33,3,103,5,36,108,1.008,1.341,1.497,1.872
63,img,familiar,0.231,2.903,32,4,103,5,36,108,0.949,1.341,1.232,1.872
63,img,unfamiliar,0.149,3.065,33,3,103,5,36,108,0.981,1.341,1.23,1.872
64,aud,none,0.012,0.589,22,14,67,41,36,108,2.253,2.272,2.228,2.28
64,aud,familiar,0.083,0.446,20,16,67,41,36,108,2,2.272,2.08,2.28
64,aud,unfamiliar,0.083,0.446,20,16,67,41,36,108,2.168,2.272,2.231,2.28
64,img,none,-0.415,3,35,1,93,15,36,108,0.844,1.158,0.921,1.281
64,img,familiar,0.059,2.053,30,6,93,15,36,108,0.932,1.158,1.071,1.281
64,img,unfamiliar,0.059,2.053,30,6,93,15,36,108,0.93,1.158,1.038,1.281
65,aud,none,0.062,0.688,22,14,71,37,36,108,2.501,2.413,2.642,2.567
65,aud,familiar,-0.013,0.836,24,12,71,37,36,108,2.514,2.413,2.798,2.567
65,aud,unfamiliar,0.062,0.688,22,14,71,37,36,108,2.476,2.413,2.549,2.567
65,img,none,-0.043,1.264,27,9,78,30,36,108,1.154,1.108,1.328,1.271
65,img,familiar,0.33,0.52,17,19,78,30,36,108,1.137,1.108,1.373,1.271
65,img,unfamiliar,0.117,0.945,23,13,78,30,36,108,1.116,1.108,1.205,1.271
66,aud,none,0.146,0.57,20,16,72,36,36,108,2.596,2.466,2.905,2.832
66,aud,familiar,0.11,0.641,21,15,72,36,36,108,2.454,2.466,2.922,2.832
66,aud,unfamiliar,0.074,0.713,22,14,72,36,36,108,2.525,2.466,2.854,2.832
66,img,none,0.066,1.66,28,8,88,20,36,108,1.216,1.188,1.839,1.466
66,img,familiar,0.307,1.178,22,14,88,20,36,108,1.284,1.188,1.534,1.466
66,img,unfamiliar,0.27,1.251,23,13,88,20,36,108,1.257,1.188,1.679,1.466
67,aud,none,0.211,0.143,16,20,66,42,36,108,1.842,1.885,1.978,2.106
67,aud,familiar,0.071,0.422,20,16,66,42,36,108,1.629,1.885,1.865,2.106
67,aud,unfamiliar,-0.037,0.638,23,13,66,42,36,108,1.74,1.885,1.931,2.106
67,img,none,0.365,1.441,23,13,93,15,36,108,0.876,0.966,1.018,1.099
67,img,familiar,0.327,1.516,24,12,93,15,36,108,0.899,0.966,0.958,1.099
67,img,unfamiliar,0.288,1.594,25,11,93,15,36,108,0.88,0.966,1.081,1.099
68,aud,none,0.149,0.719,21,15,75,33,36,108,1.55,1.73,1.869,2.005
68,aud,familiar,0.289,0.439,17,19,75,33,36,108,1.636,1.73,1.834,2.005
68,aud,unfamiliar,0.219,0.578,19,17,75,33,36,108,1.36,1.73,1.745,2.005
68,img,none,0.408,1.833,25,11,98,10,36,108,0.843,0.857,0.967,1.018
68,img,familiar,0.593,1.465,20,16,98,10,36,108,1.004,0.857,1.299,1.018
68,img,unfamiliar,0.521,1.607,22,14,98,10,36,108,0.813,0.857,1.106,1.018
69,aud,none,0.606,0.195,11,25,82,26,36,108,1.894,2.033,1.962,2.071
69,aud,familiar,0.457,0.493,15,21,82,26,36,108,1.744,2.033,1.846,2.071
69,aud,unfamiliar,0.53,0.348,13,23,82,26,36,108,1.988,2.033,2.064,2.071
69,img,none,0.402,0.664,17,19,83,25,36,108,0.749,0.76,0.854,0.826
69,img,familiar,0.189,1.089,23,13,83,25,36,108,0.793,0.76,0.812,0.826
69,img,unfamiliar,0.297,0.874,20,16,83,25,36,108,0.782,0.76,0.978,0.826
70,aud,none,0.348,0.834,19,17,84,24,36,108,2.206,2.189,2.219,2.185
70,aud,familiar,0.488,0.554,15,21,84,24,36,108,2.045,2.189,2.094,2.185
70,aud,unfamiliar,0.417,0.695,17,19,84,24,36,108,2.342,2.189,2.324,2.185
70,img,none,-0.149,2.468,33,3,93,15,36,108,0.923,0.942,1,1.073
70,img,familiar,0.288,1.594,25,11,93,15,36,108,0.974,0.942,1.101,1.073
70,img,unfamiliar,0.248,1.675,26,10,93,15,36,108,0.88,0.942,0.961,1.073
71,aud,none,0.309,0.617,18,18,79,29,36,108,1.96,2.206,2.295,2.199
71,aud,familiar,0.239,0.757,20,16,79,29,36,108,2.048,2.206,2.034,2.199
71,aud,unfamiliar,0.414,0.407,15,21,79,29,36,108,1.899,2.206,2.274,2.199
71,img,none,0.78,2.27,23,13,105,3,36,108,1.131,0.994,1.448,1.243
71,img,familiar,0.816,2.197,22,14,105,3,36,108,1.117,0.994,1.311,1.243
71,img,unfamiliar,0.922,1.984,19,17,105,3,36,108,1.013,0.994,1.217,1.243
72,aud,none,-0.169,0.524,24,12,58,50,36,108,2.524,2.633,2.773,2.854
72,aud,familiar,-0.384,0.955,29,7,58,50,36,108,2.413,2.633,2.49,2.854
72,aud,unfamiliar,-0.095,0.375,22,14,58,50,36,108,2.514,2.633,2.915,2.854
72,img,none,-0.492,2.846,35,1,89,19,36,108,0.896,1.271,1.072,1.677
72,img,familiar,-0.331,2.524,34,2,89,19,36,108,1.064,1.271,1.151,1.677
72,img,unfamiliar,-0.077,2.016,31,5,89,19,36,108,1.06,1.271,1.281,1.677
