cond,old4,old3,old2,old1,new4,new3,new2,new1
aud-none,720,770,620,302,807,1599,2842,1988
aud-familiar,686,815,573,338,807,1599,2842,1988
aud-unfamiliar,679,732,665,336,807,1599,2842,1988
img-none,1515,382,320,195,553,811,3054,2818
img-familiar,1308,436,438,230,553,811,3054,2818
img-unfamiliar,1344,410,424,234,553,811,3054,2818
