cond,t1,t2,t3,a,b,da,az,d,vo
aud-none,-0.57237,0.41864,1.22436,0.62463,0.92420,0.64874,0.67678,0.67586,1.08201
aud-familiar,-0.56810,0.40790,1.23407,0.59002,0.91123,0.61676,0.66862,0.64750,1.09741
aud-unfamiliar,-0.57408,0.42298,1.22043,0.55666,0.91187,0.58170,0.65958,0.61046,1.09664
img-none,-0.26277,0.85743,1.43810,1.23317,0.63168,1.47444,0.85143,1.95221,1.58309
img-familiar,-0.26328,0.85965,1.43560,1.12093,0.70314,1.29676,0.82041,1.59418,1.42220
img-unfamiliar,-0.26373,0.86164,1.43337,1.11266,0.67366,1.30504,0.82194,1.65167,1.48443
