sub,test,pair,old4,old3,old2,old1,new4,new3,new2,new1
21,img,none,26,7,3,0,14,22,32,40
21,img,familiar,20,8,7,1,.,.,.,.
21,img,unfamiliar,19,9,4,4,.,.,.,.
22,aud,none,16,7,3,10,23,8,11,66
22,aud,familiar,17,5,1,13,.,.,.,.
22,aud,unfamiliar,19,0,3,14,.,.,.,.
22,img,none,21,3,0,12,27,5,4,72
22,img,familiar,16,1,1,18,.,.,.,.
22,img,unfamiliar,16,3,2,15,.,.,.,.
23,aud,none,9,15,12,0,1,16,74,17
23,aud,familiar,11,13,12,0,.,.,.,.
23,aud,unfamiliar,10,14,10,2,.,.,.,.
23,img,none,25,7,4,0,4,13,68,23
23,img,familiar,18,6,10,2,.,.,.,.
23,img,unfamiliar,23,7,6,0,.,.,.,.
24,aud,none,2,21,12,1,3,27,77,1
24,aud,familiar,4,22,9,1,.,.,.,.
24,aud,unfamiliar,0,18,16,2,.,.,.,.
24,img,none,22,7,6,1,1,17,74,16
24,img,familiar,16,11,9,0,.,.,.,.
24,img,unfamiliar,16,12,8,0,.,.,.,.
25,aud,none,7,21,6,2,4,30,36,38
25,aud,familiar,8,20,4,4,.,.,.,.
25,aud,unfamiliar,8,20,4,4,.,.,.,.
25,img,none,29,2,1,4,4,7,15,82
25,img,familiar,24,2,1,9,.,.,.,.
25,img,unfamiliar,23,2,1,10,.,.,.,.
26,aud,none,2,14,18,2,0,32,62,14
26,aud,familiar,2,15,18,1,.,.,.,.
26,aud,unfamiliar,0,14,20,2,.,.,.,.
26,img,none,17,10,8,1,0,7,89,12
26,img,familiar,17,6,13,0,.,.,.,.
26,img,unfamiliar,13,9,13,1,.,.,.,.
27,aud,none,1,20,15,0,0,24,82,2
27,aud,familiar,1,15,19,1,.,.,.,.
27,aud,unfamiliar,1,18,17,0,.,.,.,.
27,img,none,10,14,11,1,1,25,80,2
27,img,familiar,4,20,12,0,.,.,.,.
27,img,unfamiliar,8,18,10,0,.,.,.,.
28,aud,none,13,16,6,1,19,37,49,3
28,aud,familiar,17,12,7,0,.,.,.,.
28,aud,unfamiliar,15,14,7,0,.,.,.,.
28,img,none,29,3,3,1,3,13,51,41
28,img,familiar,27,4,5,0,.,.,.,.
28,img,unfamiliar,29,4,3,0,.,.,.,.
29,aud,none,13,10,5,8,16,27,19,46
29,aud,familiar,19,8,3,6,.,.,.,.
29,aud,unfamiliar,11,7,6,12,.,.,.,.
29,img,none,34,1,0,1,7,11,51,39
29,img,familiar,31,1,3,1,.,.,.,.
29,img,unfamiliar,34,1,1,0,.,.,.,.
30,aud,none,15,11,8,2,8,33,46,21
30,aud,familiar,10,14,9,3,.,.,.,.
30,aud,unfamiliar,6,13,15,2,.,.,.,.
30,img,none,25,5,5,1,6,23,52,27
30,img,familiar,28,4,2,2,.,.,.,.
30,img,unfamiliar,24,7,4,1,.,.,.,.
31,aud,none,5,19,9,3,5,37,49,17
31,aud,familiar,5,20,8,3,.,.,.,.
31,aud,unfamiliar,3,23,8,2,.,.,.,.
31,img,none,29,4,3,0,2,13,71,22
31,img,familiar,16,10,10,0,.,.,.,.
31,img,unfamiliar,18,10,5,3,.,.,.,.
34,aud,none,19,4,6,7,36,12,19,41
34,aud,familiar,23,3,4,6,.,.,.,.
34,aud,unfamiliar,19,8,3,6,.,.,.,.
34,img,none,20,6,5,5,21,17,35,35
34,img,familiar,20,6,5,5,.,.,.,.
34,img,unfamiliar,17,6,9,4,.,.,.,.
35,aud,none,12,7,5,12,13,14,18,63
35,aud,familiar,15,4,3,14,.,.,.,.
35,aud,unfamiliar,11,7,4,14,.,.,.,.
35,img,none,12,9,4,11,14,17,18,59
35,img,familiar,14,6,3,13,.,.,.,.
35,img,unfamiliar,10,3,10,13,.,.,.,.
36,aud,none,22,0,0,14,40,0,0,68
36,aud,familiar,20,0,0,16,.,.,.,.
36,aud,unfamiliar,25,0,0,11,.,.,.,.
36,img,none,25,0,0,11,10,0,0,98
36,img,familiar,18,0,0,18,.,.,.,.
36,img,unfamiliar,21,0,0,15,.,.,.,.
37,aud,none,5,24,4,3,6,20,56,26
37,aud,familiar,3,18,10,5,.,.,.,.
37,aud,unfamiliar,3,19,10,4,.,.,.,.
37,img,none,10,13,7,6,10,9,54,35
37,img,familiar,15,13,4,4,.,.,.,.
37,img,unfamiliar,9,10,10,7,.,.,.,.
39,aud,none,8,8,18,2,10,26,58,14
39,aud,familiar,5,6,18,7,.,.,.,.
39,aud,unfamiliar,4,7,21,4,.,.,.,.
39,img,none,24,5,3,4,11,13,31,53
39,img,familiar,12,8,12,4,.,.,.,.
39,img,unfamiliar,19,5,7,5,.,.,.,.
40,aud,none,22,9,1,4,5,12,36,55
40,aud,familiar,22,7,4,3,.,.,.,.
40,aud,unfamiliar,17,7,6,6,.,.,.,.
40,img,none,28,4,3,1,0,20,59,29
40,img,familiar,16,11,7,2,.,.,.,.
40,img,unfamiliar,16,12,8,0,.,.,.,.
41,aud,none,12,11,7,6,4,35,36,33
41,aud,familiar,7,17,8,4,.,.,.,.
41,aud,unfamiliar,11,9,11,5,.,.,.,.
41,img,none,29,5,1,1,4,14,26,64
41,img,familiar,16,6,8,6,.,.,.,.
41,img,unfamiliar,24,6,4,2,.,.,.,.
42,aud,none,4,21,11,0,0,35,64,9
42,aud,familiar,5,15,16,0,.,.,.,.
42,aud,unfamiliar,5,16,15,0,.,.,.,.
42,img,none,24,6,5,1,0,15,84,9
42,img,familiar,15,13,8,0,.,.,.,.
42,img,unfamiliar,22,7,7,0,.,.,.,.
43,aud,none,17,7,5,7,16,21,25,46
43,aud,familiar,9,12,5,10,.,.,.,.
43,aud,unfamiliar,18,7,5,6,.,.,.,.
43,img,none,20,6,6,4,3,11,39,55
43,img,familiar,23,6,2,5,.,.,.,.
43,img,unfamiliar,25,5,1,5,.,.,.,.
44,aud,none,15,14,7,0,18,53,22,15
44,aud,familiar,15,16,4,1,.,.,.,.
44,aud,unfamiliar,12,20,3,1,.,.,.,.
44,img,none,27,6,3,0,18,29,41,20
44,img,familiar,17,10,8,1,.,.,.,.
44,img,unfamiliar,20,12,3,1,.,.,.,.
45,aud,none,16,4,10,6,23,20,22,43
45,aud,familiar,14,5,8,9,.,.,.,.
45,aud,unfamiliar,17,4,9,6,.,.,.,.
45,img,none,20,6,3,7,9,8,22,69
45,img,familiar,19,7,6,4,.,.,.,.
45,img,unfamiliar,19,6,5,6,.,.,.,.
46,aud,none,17,7,7,5,8,17,48,35
46,aud,familiar,16,8,7,5,.,.,.,.
46,aud,unfamiliar,13,7,8,8,.,.,.,.
46,img,none,29,4,2,1,6,10,33,59
46,img,familiar,20,5,9,2,.,.,.,.
46,img,unfamiliar,24,4,5,3,.,.,.,.
47,aud,none,16,9,9,2,8,11,29,60
47,aud,familiar,22,6,4,4,.,.,.,.
47,aud,unfamiliar,17,7,8,4,.,.,.,.
47,img,none,19,10,5,2,6,11,26,65
47,img,familiar,22,7,5,2,.,.,.,.
47,img,unfamiliar,19,10,3,4,.,.,.,.
48,aud,none,10,9,13,4,3,16,53,36
48,aud,familiar,9,9,10,8,.,.,.,.
48,aud,unfamiliar,7,9,17,3,.,.,.,.
48,img,none,27,5,2,2,19,17,32,40
48,img,familiar,29,5,1,1,.,.,.,.
48,img,unfamiliar,24,5,5,2,.,.,.,.
49,aud,none,7,19,8,2,5,42,37,24
49,aud,familiar,3,18,12,3,.,.,.,.
49,aud,unfamiliar,9,14,9,4,.,.,.,.
49,img,none,27,3,2,4,6,14,37,51
49,img,familiar,20,6,7,3,.,.,.,.
49,img,unfamiliar,27,5,2,2,.,.,.,.
50,aud,none,6,15,11,4,9,25,47,27
50,aud,familiar,7,13,13,3,.,.,.,.
50,aud,unfamiliar,10,13,9,4,.,.,.,.
50,img,none,16,9,9,2,1,9,56,42
50,img,familiar,13,6,16,1,.,.,.,.
50,img,unfamiliar,13,11,12,0,.,.,.,.
51,aud,none,4,11,19,2,7,44,48,9
51,aud,familiar,3,16,16,1,.,.,.,.
51,aud,unfamiliar,3,20,10,3,.,.,.,.
51,img,none,8,9,14,5,0,8,72,28
51,img,familiar,7,11,14,4,.,.,.,.
51,img,unfamiliar,8,9,14,5,.,.,.,.
52,aud,none,20,9,2,5,45,10,19,34
52,aud,familiar,23,3,4,6,.,.,.,.
52,aud,unfamiliar,24,2,5,5,.,.,.,.
52,img,none,26,3,4,3,34,12,21,41
52,img,familiar,27,1,7,1,.,.,.,.
